SubID,SessionID,Phase,Day,Block,Trial,NameHash,SchemaVer,ConfigChecksum,SubjectMapChecksum,SelfImageSHA256,Seed,Type,CueDim,P1,P2,P1_com,P1_pop,P2_com,P2_pop,P1_angle_deg,P2_angle_deg,P1_angle_bin,P2_angle_bin,P1_dist,P2_dist,C1,C2,DeltaDim,Choice,Correct_Choice,Is_Correct,Onset_Pair_MS,Offset_Pair_MS,Onset_P1_MS,Offset_P1_MS,Onset_P2_MS,Offset_P2_MS,RT_Choice_MS,Timeout,FixWhite_S,FixPurple_S,FixGreen_S,ITI_S
001,001_A_Day2_20251006-145611,A,2,1,3,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,0,18,0,0,2.0,1.0,,26.56505117707799,,0.0,0,2.23606797749979,0,1.0,1.0,P1,P2,0,27959.84500000486,29313.046600029338,,,,,13504.828799981624,0,,,,1.691174002735148
001,001_A_Day2_20251006-145611,A,2,1,4,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,0,13,0,0,-2.0,1.0,,153.434948822922,,5.0,0,2.23606797749979,0,1.0,1.0,P1,P2,0,32359.97779999161,33041.581300029065,,,,,17286.592999997083,0,,,,1.3799181194536205
001,001_A_Day2_20251006-145611,A,2,1,5,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,14,13,2.0,2.0,-2.0,1.0,45.0,153.434948822922,1.0,5.0,2.8284271247461903,2.23606797749979,2.0,1.0,1.0,P1,P1,1,35841.950299975,40416.307399980724,,,,,24595.330899988767,0,,,,2.938054133601694
001,001_A_Day2_20251006-145611,A,2,1,6,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,24,6,-1.0,1.0,-2.0,2.0,135.0,135.0,4.0,4.0,1.4142135623730951,2.8284271247461903,1.0,2.0,1.0,P1,P2,0,44708.98260001559,45333.39619997423,,,,,29501.748999988195,0,,,,2.8278430030561017
001,001_A_Day2_20251006-145611,A,2,1,7,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,11,13,0.0,2.0,-2.0,1.0,90.0,153.434948822922,3.0,5.0,2.0,2.23606797749979,2.0,1.0,1.0,P1,P1,1,49525.505600031465,50086.91539999563,,,,,34292.24019998219,0,,,,2.122392344865498
001,001_A_Day2_20251006-145611,A,2,1,8,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,21,1,1.0,0.0,2.0,-1.0,0.0,333.434948822922,0.0,11.0,1.0,2.23606797749979,0.0,-1.0,1.0,P1,P1,1,53592.413200007286,77904.70349998213,,,,,62078.567899996415,0,,,,1.5967248055153567
001,001_A_Day2_20251006-145611,A,2,1,9,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,1,5,2.0,-1.0,2.0,0.0,333.434948822922,0.0,11.0,0.0,2.23606797749979,2.0,-1.0,0.0,1.0,P1,P2,0,80857.30109998258,87082.97019999009,,,,,71257.67120003002,0,,,,2.7983694492603166
001,001_A_Day2_20251006-145611,A,2,1,10,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,learn,pop,16,15,1.0,1.0,1.0,2.0,45.0,63.43494882292201,1.0,2.0,1.4142135623730951,2.23606797749979,1.0,2.0,1.0,P1,P2,0,91241.025299998,92105.8725999901,,,,,76325.11460001115,0,,,,2.852659266291097
001,001_A_Day2_20251006-145611,A,2,1,11,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,test,pop,2,0,-1.0,2.0,0,0,116.565051177078,,3.0,,2.23606797749979,0,2.0,0,2.0,P2,P1,0,99957.32290000888,101501.10059999861,,,,,85694.73230000585,0,,,,1.9924188914512102
001,001_A_Day2_20251006-145611,A,2,1,12,e3b0c44298fc1c14,cfg-1.0,eb14d2fa58da398a,c6ccd6180edf4f17,cd4745ba8c21a0b7,20250927,test,pop,15,0,1.0,2.0,0,0,63.43494882292201,,2.0,,2.23606797749979,0,2.0,0,2.0,P2,P1,0,104324.14260000223,104958.39689997956,,,,,89155.52700002445,0,,,,1.5213187120120775
